iso3,country_name,income_group,peer_group,ppp_data_available,gdp_usd,gdp_ppp,actual_contribution_usd,adjusted_target_usd,gap_usd_signed,gap_pct_ppp_gdp,gap_usd_lower,gap_usd_upper,giving_rate_raw,giving_rate,p_donate,pred_donation_usd,expected_contribution,donor_segment,imr
BGR,Bulgaria,HIC,High Income,True,113343355779.985,220435278526.734,0.0,10265133.403517852,10265133.403517852,0.004656756156330446,-123883344039.1625,123903874305.96954,0.0,0.0,0.36028000881509037,36466427.36338152,10265133.403517852,Emerging Prospect,1.0386863960752137
ARG,Argentina,UMC,Upper-Middle Income,True,638365455340.04,1223376004342.6,0.0,6593945.244179174,6593945.244179174,0.0005389957969400039,-697779347620.5715,697792535511.0598,0.0,0.0,0.11666184611147096,489986416.08770156,6593945.244179174,Low Probability,1.6808422508860712
RUS,Russian Federation,HIC,High Income,True,2173835806671.66,6088997179872.49,0.0,5074660.527654333,5074660.527654333,8.334148264067026e-05,-2376176237280.7207,2376186386601.7764,0.0,0.0,0.026365325826911416,723593362.4143819,5074660.527654333,Low Probability,2.3176405770830413
ISL,Iceland,HIC,High Income,True,33255181468.9382,26015741028.9644,0.0,4715272.255466325,4715272.255466325,0.018124689395610977,-36345932964.003555,36355363508.51448,0.0,0.0,0.9026311979567689,34497478.64686519,4715272.255466325,High-Potential Prospect,0.19067196449034074
ARE,United Arab Emirates,HIC,High Income,True,552324846834.581,765771908236.642,0.0,4455603.24097292,4455603.24097292,0.0005818446972327472,-603732024926.3461,603740936132.828,0.0,0.0,0.091109741829149,195627245.97404474,4455603.24097292,Low Probability,1.7986522200740496
THA,Thailand,UMC,Upper-Middle Income,True,526517658841.684,1558101282937.74,0.0,3564363.9901704434,3564363.9901704434,0.00022876330500479227,-575523537318.1821,575530666046.1624,0.0,0.0,0.07645783416972227,400806142.2646452,3564363.9901704434,Low Probability,1.8787682382504718
IDN,Indonesia,UMC,Upper-Middle Income,True,1396300098190.97,4102194303076.81,0.0,3269862.9607708217,3269862.9607708217,7.971009462711929e-05,-1526267568532.6316,1526274108258.553,0.0,0.0,0.02644865970625646,542016154.4135852,3269862.9607708217,Low Probability,2.316439494923255
CHL,Chile,HIC,High Income,True,330267137371.592,596555875617.396,0.0,2800186.659282163,2800186.659282163,0.000469392184995941,-361006341976.7827,361011942350.1013,0.0,0.0,0.09575787626933374,312199494.32197356,2800186.659282163,Low Probability,1.775415535884454
MLT,Malta,HIC,High Income,True,24971574502.4475,35666988034.4529,0.0,2485965.81968689,2485965.81968689,0.006969934824004609,-27293498616.067684,27298470547.707058,0.0,0.0,0.39602341140935404,11606618.116221849,2485965.81968689,Emerging Prospect,0.9729591278448025
VNM,Viet Nam,LMC,Lower-Middle Income,True,476388230307.175,1455759302312.16,0.0,2353998.534940355,2353998.534940355,0.00016170245528924565,-520729159674.4523,520733867671.5221,0.0,0.0,0.05580820453888785,320217286.0637604,2353998.534940355,Low Probability,2.0163796665529086
COL,Colombia,UMC,Upper-Middle Income,True,418818154879.271,977192682078.988,0.0,2168742.3751342776,2168742.3751342776,0.00022193600248011014,-457800517951.5947,457804855436.345,0.0,0.0,0.05848376881886517,212250143.275975,2168742.3751342776,Low Probability,1.9963804900072175
GEO,Georgia,UMC,Upper-Middle Income,True,34189423544.9955,92059436458.5108,0.0,2132439.8539785664,2132439.8539785664,0.0023163729173376058,-37369719217.17095,37373984096.878914,0.0,0.0,0.24811707112665587,105408413.39941438,2132439.8539785664,Emerging Prospect,1.275611424387784
PER,Peru,UMC,Upper-Middle Income,True,289221969062.941,535911373084.806,0.0,2094686.9506982022,2094686.9506982022,0.0003908644331693863,-316141302979.51935,316145492353.4207,0.0,0.0,0.08179763257277128,236911204.78132784,2094686.9506982022,Low Probability,1.848234680699609
QAT,Qatar,HIC,High Income,True,219162637362.637,316903289158.333,0.0,2058320.0451634007,2058320.0451634007,0.0006495104707275573,-239560728151.02747,239564844791.1178,0.0,0.0,0.10607163693882399,127419624.37978604,2058320.0451634007,Low Probability,1.7269077111095932
MYS,Malaysia,UMC,Upper-Middle Income,True,422227005428.688,1213093813799.27,0.0,1849240.1320546044,1849240.1320546044,0.00015243999359480678,-461526991446.63965,461530689926.9038,0.0,0.0,0.04946524772614925,275286595.78504467,1849240.1320546044,Low Probability,2.0672020371458966
ALB,Albania,UMC,Upper-Middle Income,True,27046429296.6673,51443601344.7113,0.0,1841720.2402125455,1841720.2402125455,0.003580076417806789,-29562129786.825943,29565813227.306366,0.0,0.0,0.2708852497863329,81484505.81057043,1841720.2402125455,Emerging Prospect,1.2226093091738883
PHL,Philippines,LMC,Lower-Middle Income,True,461617509782.355,1201987017721.73,0.0,1806259.48589875,1806259.48589875,0.00015027279490275775,-504584095142.6636,504587707661.6354,0.0,0.0,0.04419272204209217,281034331.374648,1806259.48589875,Low Probability,2.113802308234625
BIH,Bosnia and Herzegovina,UMC,Upper-Middle Income,True,29613572022.8993,64954815907.2616,0.0,1788980.6088067205,1788980.6088067205,0.002754192408705945,-32368280646.856804,32371858608.074417,0.0,0.0,0.24031809418793054,87999191.87442751,1788980.6088067205,Emerging Prospect,1.2945246692700763
PRI,Puerto Rico (US),HIC,High Income,True,126029527033.705,141604056305.924,0.0,1719056.7005323046,1719056.7005323046,0.0012139883174097942,-137758918601.02505,137762356714.42612,0.0,0.0,0.1540532201302402,187633065.60799405,1719056.7005323046,Low Probability,1.5405367449062632
